Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students
CSE,6,CS462,Computer Graphics,3,1,0,0,4,Dr. Vivekraj V K,Yes,25
CSE,6,CS469,Virtualization and Cloud Computing,,,,,,Dr Malay Kumar,Yes,21
CSE,6,DS013,Data Analytics and Visualization,3,1,0,0,4,Dr. Sunil CK,Yes,24
CSE,6,CS014,Statistics for Health Technology,3,1,0,0,4,Dr. Ramesh Athe,Yes,19
CSE,6,CS015,Medical Image Analysis,3,0,0,4,4,Dr. Girish GN,Yes,16
CSE,6,CS472,Bioinformatics,,,,,,Dr. Sunil Kumar PV,Yes,20
CSE,6,CS399,Mini Project 1,0,0,0,8,2,Dr. Pramod Yelmewad and Animesh Roy,Yes,70
CSE,8,CS499,MajorProject,0,0,0,32,8,Dr. Pramod Yelmewad and Dr. Animesh Roy,Yes,70
DSAI,2,MA163,Linear Algebra,3,1,0,0,2,Dr. Sibasankar Padhy,Yes,70
DSAI,2,CS162,Optimization,3,1,0,0,2,Dr. Dibyajyothi Guha,Yes,70
DSAI,2,CS164,Computer Architecture,3,0,2,0,2,Dr. Manjunath KV,Yes,70
DSAI,2,HS161,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,Yes,70
DSAI,2,CS163,Data Structures & Algorithms,3,0,2,0,4,Dr. Sunil Saumya,Yes,70
DSAI,2,DS164,Data Curation Techniques,2,0,2,0,3,Dr. Siddharth R,Yes,70
DSAI,2,NEW1,Data Science with Python,0,0,2,0,0,Dr. Abdul Wahid,Yes,27
DSAI,2,NEW2,Introduction to Digital VLSI Design,0,0,2,0,0,Dr Prakash Pawar,Yes,24
DSAI,2,NEW3,Industry Insights Program Part 1,0,0,1,0,0,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,Yes,32
DSAI,2,NEW4,Principles of Quantum Physics,0,0,2,0,0,Dr. Ashwath Babu & Prof. Ravi Shankar,Yes,18
DSAI,2,NEW5,Linux for Engineers,0,0,2,0,0,Dr. Shirshendu Layek,Yes,22
