
Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students
CSE,2,CS311,Data Science with Python,0,0,2,0,0,Dr. Abdul Wahid,Yes,27
CSE,2,CS313,Industry Insights Program Part 1,0,0,1,0,0,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,Yes,32
DSAI,2,CS315,Linux for Engineers,0,0,2,0,0,Dr. Shirshendu Layek,Yes,22
DSAI,2,CS318,Visual Design: Principles and Application in Product Communication,0,0,0,2,0,Dr. Sandesh P,Yes,19
DSAI,2,CS319,Introduction to Internet of Things,0,0,2,0,0,Dr. Jagadeesha Bhat,Yes,26
DSAI,2,CS320,Computer Intensive Statistical Methods,0,0,2,0,0,Dr. Ramesh Athe,Yes,21
DSAI,2,DS321,Concurrency and Computation,0,0,2,0,0,Dr Pramod Yelmewad,Yes,18
DSAI,4,MA202,Linear Algebra,3,1,0,0,4,Dr. Chinmayananda,Yes,70
DSAI,4,HS206,Industrial Social Psychology,3,0,0,0,3,Dr. Navyashree,Yes,70
DSAI,4,CS204,Operating Systems,3,1,0,0,4,Dr. Manjunath KV,Yes,70
DSAI,4,DS204,Software Engineering and Services,3,0,2,0,4,Dr. Animesh Chaturvedi,Yes,70
DSAI,4,CS310,Database Management System,3,1,2,0,5,Dr. Utkarsh Khaire,Yes,70
DSAI,6,DS309,Cloud Computing,3,0,0,4,4,Dr. Animesh Chaturvedi,Yes,70
DSAI,6,DS307,Innovation & Entrepreneurship,3,1,0,0,4,Mr. Ram Subramanian,Yes,70
DSAI,6,DS308,Data Security & Privacy,3,1,0,0,4,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Yes,70
DSAI,6,DS399,Mini Project,0,0,0,8,2,Dr. Shirshendu Layek,Yes,70
DSAI,6,CS464,Deep Learning for Computer Vision,3,1,0,0,4,Dr. Chinmayananda,Yes,28
DSAI,6,DS322,Large Language Models,3,0,0,4,4,Dr. Sunil S,Yes,31
DSAI,6,CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu Ghosh,Yes,25
